time_edt,source,speech,language,shouted,transcriber_note,pdf_page
09:31:57.9,CAM,Start of recording,unmarked,,,2
09:31:57.9,CAM-1,"Ladies and Gentlemen: Here the captain, please sit down keep remaining seating. We have a bomb onboard '. So, sit",english_spoken,,Over head broadcast,2
09:32:08.0,CAM.,,unmarked,,The sound of plates/glass breaking,2
09:32:09,CAM-1,8 Don 't move,english_spoken,,,2
09:32:10.9,CAM-1,Shut up,english_spoken,,,2
09:32:13.5,CAM-1,"Come on, Come",english_spoken,,,2
09:32:16.1,CAM-1,Shut up,english_spoken,,,2
09:32:17.9,CAM-1,Don ‘ t move!,english_spoken,,,2
09:32:18.0,CAM-1,Stop!,english_spoken,,,2
09:32:21.0,CAM,,unmarked,,The sound of a seat moving,2
09:32:34.5,CAM-1,"Sit, sit, sit down ؛",english_spoken,,,2
09:32:39.8,CAM-?,Sit down!,english_spoken,,,2
09:32:41.9,CAM-?,the brother,translated_arabic,,U/I,2
09:32:42.1,CAM-,,unmarked,,The sound of cabin call chime,2
09:32:44.0,CAM-,,unmarked,,The sound of seat belt,2
09:33:54.9,CAM-2,Stop!,english_spoken,,,2
09:33:05.2,CAM-,,unmarked,,The sound of 4 switches click,2
09:33:09.4,CAM-1,No more,english_spoken,,The sound of loud click} Sit down!,2
09:33:10.5,CAM-1,"That's it, that's it, that's it, down, down!",mixed,,,2
09:33:14.4,CAM-1,SHUT UP! CAM,unmarked,yes,The sound of cabin call chime,2
09:33:20.0,"CAM,",,unmarked,,"Start of radio channels 1,2,3",2
09:33:20.7,CAM-2,,unmarked,,U/I; Unintelligible English phrase,2
09:33:20.0,CTR,"We just Ah, we didn't get it clear... Is that United Ninety Three calling",english_spoken,,,2
09:33:30.9,CAM-?,,unmarked,,Jassim Probably an Arabic first name,2
09:33:32.0,CAM,,unmarked,,The sound of 3 clicks,2
09:33:34.6,CAM-1,"In the name of Allah, the Most Merciful, the Most Compassionate",translated_arabic,,,2
09:33:41.8,CAM-1,,unmarked,,"U/I; Unintelligible Arabic question, asked by a male",2
09:33:43.2,CAM-2,"Finish, no more. NO MORE!",english_spoken,,,2
