time_edt,pressure_alt_ft,roll_deg,pitch_deg,vertical_g,voices,marked_beat,beat_certainty
09:57:00,7210,-0.4,0.0,0.982,,The revolt begins.,published
09:57:01,7188,-0.4,0.0,0.984,,,
09:57:02,7165,-0.4,0.0,0.986,,,
09:57:03,7146,-0.4,0.0,0.989,,,
09:57:04,7122,-0.4,0.0,0.991,,,
09:57:05,7103,-0.4,0.0,0.989,,,
09:57:06,7080,-0.4,0.0,0.993,,,
09:57:07,7059,-0.4,0.0,0.993,,,
09:57:08,7038,-0.4,0.0,0.989,,,
09:57:09,7016,-0.4,0.0,0.989,,,
09:57:10,6994,-0.7,0.0,0.984,,,
09:57:11,6973,-1.1,0.0,0.982,,,
09:57:12,6950,-1.1,0.0,0.984,,,
09:57:13,6928,-0.7,0.0,0.982,,,
09:57:14,6906,-0.7,0.0,0.991,,,
09:57:15,6886,-0.7,0.0,0.989,,,
09:57:16,6862,-0.4,0.0,0.982,,,
09:57:17,6839,-0.4,0.0,0.979,,,
09:57:18,6818,-0.4,0.0,0.982,,,
09:57:19,6796,-0.4,0.0,0.989,,,
09:57:20,6774,-0.4,0.0,0.998,,,
09:57:21,6752,-0.4,0.0,1.0,,,
09:57:22,6730,0.0,0.0,0.991,,,
09:57:23,6708,0.0,0.0,0.989,,,
09:57:24,6687,0.0,0.0,0.991,,,
09:57:25,6666,0.0,0.0,0.993,,,
09:57:26,6644,0.0,0.0,0.993,,,
09:57:27,6624,0.0,0.0,0.993,,,
09:57:28,6602,0.0,0.0,0.989,,,
09:57:29,6582,0.0,0.0,0.991,,,
09:57:30,6558,-0.4,0.0,0.986,,,
09:57:31,6536,-1.4,0.0,0.982,,,
09:57:32,6515,-2.8,0.0,0.984,,,
09:57:33,6494,-4.9,0.0,0.979,,,
09:57:34,6471,-6.7,0.0,0.991,,,
09:57:35,6449,-8.8,0.0,0.991,,The rolling starts.,measured
09:57:36,6426,-11.2,0.0,1.005,,,
09:57:37,6404,-13.4,0.0,1.007,,,
09:57:38,6381,-15.1,0.0,1.018,,,
09:57:39,6358,-16.9,0.0,1.034,,,
09:57:40,6335,-18.3,0.0,1.044,,,
09:57:41,6313,-19.3,0.0,1.053,,,
09:57:42,6291,-20.0,0.0,1.046,"CAM: The sound of papers being shuffled, or movements [unmarked]",,
09:57:43,6269,-20.4,0.0,1.048,,,
09:57:44,6246,-20.7,0.0,1.055,,,
09:57:45,6225,-21.1,0.0,1.055,,,
09:57:46,6203,-21.4,0.4,1.06,,,
09:57:47,6181,-21.4,0.4,1.062,,,
09:57:48,6160,-21.8,0.4,1.062,,,
09:57:49,6138,-21.4,0.4,1.057,,,
09:57:50,6115,-21.4,0.4,1.06,,,
09:57:51,6095,-21.8,0.4,1.082,,,
09:57:52,6076,-21.8,0.4,1.092,,,
09:57:53,6055,-21.4,0.4,1.06,,,
09:57:54,6036,-20.7,0.4,1.046,,,
09:57:55,6015,-19.7,0.4,1.039,CAM ?: Is there something [arabic],,
09:57:56,5995,-18.6,0.4,1.039,,,
09:57:57,5974,-16.9,0.4,1.032,CAM 1: A fight [unmarked],,
09:57:58,5953,-15.5,0.4,1.025,,,
09:57:59,5933,-13.4,0.4,1.027,CAM 2: Yeah [arabic],,
09:58:00,5913,-11.6,0.4,1.016,,,
09:58:01,5891,-10.2,0.4,0.989,,,
09:58:02,5866,9.1,1.1,1.176,CAM: The sound of a light knock on the door [unmarked],,
09:58:03,5852,5.3,1.4,0.977,,,
09:58:04,5830,-30.9,1.1,0.961,,,
09:58:05,5806,-7.7,1.4,1.316,,,
09:58:06,5788,7.0,0.7,0.844,,,
09:58:07,5764,-24.3,1.1,1.211,,,
09:58:08,5744,-27.4,0.0,0.801,,,
09:58:09,5716,12.3,1.1,1.286,,,
09:58:10,5690,19.7,0.4,0.863,,,
09:58:11,5670,-4.6,0.7,1.229,,,
09:58:12,5644,-25.0,0.0,0.986,,,
09:58:13,5624,-3.9,0.7,1.126,,,
09:58:14,5593,22.5,0.7,1.016,,,
09:58:15,5579,1.4,0.7,1.062,CAM: The sound of opening [unmarked],,
09:58:16,5546,-33.7,0.7,1.135,,,
09:58:17,5525,-33.7,-0.4,0.936,,,
09:58:18,5494,0.7,0.7,1.245,,,
09:58:19,5476,2.5,0.7,1.094,,,
09:58:20,5458,-17.9,1.1,1.151,"CAM: The sound of a male scream from a distance, and fighting in the background [unmarked]",,
09:58:21,5440,-24.6,0.7,0.812,CAM: The sound of a male screaming from a distance [unmarked],,
09:58:22,5418,10.9,1.8,1.288,,,
09:58:23,5399,22.1,0.7,0.934,,,
09:58:24,5382,3.9,1.1,1.197,,,
09:58:25,5363,-12.0,0.7,0.991,,,
09:58:26,5343,-3.2,0.7,1.023,,,
09:58:27,5319,6.3,0.7,0.842,,,
09:58:28,5304,-19.7,1.1,1.085,,,
09:58:29,5266,-46.4,-0.4,0.945,,,
09:58:30,5240,-29.5,-0.7,1.073,,,
09:58:31,5208,14.4,1.8,1.389,,,
09:58:32,5174,36.9,0.4,1.044,CAM ?: U/I; Unintelligible phrase. Far-away. Hard to hear [unmarked],,
09:58:33,5155,23.6,-0.4,0.952,CAM 1.: Let's go guys! Allah is Greatest. Allah is Greatest. Oh guys! Allah is Greatest [arabic],,
09:58:34,5134,-12.3,1.8,1.389,,,
09:58:35,5104,-37.3,0.7,1.048,,,
09:58:36,5093,-17.6,1.1,1.277,,,
09:58:37,5076,19.0,2.8,1.366,,,
09:58:38,5068,21.8,2.1,0.911,,,
09:58:39,5068,-2.1,2.8,1.3,,,
09:58:40,5063,-20.7,2.5,1.025,,,
09:58:41,5062,-6.3,2.8,1.135,CAM ?: Ugh! [unmarked],,
09:58:42,5060,13.7,2.8,1.076,,,
09:58:43,5055,8.1,2.5,0.995,CAM ?: Ugh! [unmarked],,
09:58:44,5059,11.2,2.8,1.009,CAM 1: Oh Allah! Oh Allah! Oh the most Gracious! [arabic],,
09:58:45,5046,37.6,2.1,0.989,,,
09:58:46,5035,30.2,1.1,0.785,,,
09:58:47,5029,0.7,2.5,1.298,CAM ?: Ugh! Ugh! [english],,
09:58:48,5022,-21.8,2.5,1.087,,,
09:58:49,5017,-12.3,2.5,1.156,,,
09:58:50,5012,-7.4,2.5,1.08,,,
09:58:51,5014,0.0,2.5,0.897,,,
09:58:52,5010,17.2,2.8,1.039,CAM ?: STAY BACK! [english-shout],,
09:58:53,5013,-1.1,2.8,1.025,,,
09:58:54,5009,-26.7,2.8,0.998,,,
09:58:55,5008,-6.7,3.2,1.286,CAM ?: In the cockpit [english],,
09:58:56,5007,7.0,3.2,1.048,,,
09:58:57,5011,3.2,2.5,0.973,"CAM ?: In the cockpit [english] | CAM 1: They want to get in there. Hold, hold from the inside. Hold from the inside. Hold. عاوزين يدخلوالهناك. إمسك, إمسك من الداخل. إمسك من الداخل. إمسك [arabic]",,
09:58:58,5013,3.9,2.5,0.95,,,
09:58:59,5012,1.8,2.1,0.959,,,
09:59:00,5011,1.8,2.1,0.959,,,
09:59:01,5010,2.1,2.1,0.968,,,
09:59:02,5005,3.2,2.1,0.982,,,
09:59:03,5004,9.8,2.1,1.0,,,
09:59:04,5000,13.7,2.1,0.89,"CAM,?: hold the door [english]",,
09:59:05,4998,-5.6,2.5,1.13,,,
09:59:06,4994,-8.1,2.5,1.002,,,
09:59:07,4992,-2.1,2.5,1.021,,,
09:59:08,4991,-0.4,2.5,1.009,,,
09:59:09,4992,1.1,2.5,0.995,CAM ?: Stop him [english],,
09:59:10,4993,2.5,2.5,1.002,,,
09:59:11,4993,3.2,2.5,0.993,CAM 3: Sit down! Sit down! [english],,
09:59:12,4993,3.9,2.5,0.991,,,
09:59:13,4994,4.2,2.5,0.984,,,
09:59:14,4995,4.2,2.5,0.984,,,
09:59:15,4996,4.6,2.5,0.984,CAM 3: Sit down! [english],The autopilot levels off at the altitude somebody selected eleven minutes earlier.,measured
09:59:16,4995,4.2,2.5,0.984,CAM ?: U/I; Unintelligible Arabic phrase [unmarked],,
09:59:17,4995,3.9,2.5,0.979,CAM 1: What [arabic],,
