index,longitude,latitude
0,-74.17450,40.68950
1,-74.21072,40.69399
2,-74.24751,40.69639
3,-74.28477,40.69710
4,-74.32240,40.69652
5,-74.36029,40.69506
6,-74.39834,40.69311
7,-74.43644,40.69110
8,-74.47450,40.68941
9,-74.51240,40.68845
10,-74.55004,40.68863
11,-74.58732,40.69035
12,-74.62413,40.69402
13,-74.66038,40.69999
14,-74.69607,40.70811
15,-74.73129,40.71785
16,-74.76611,40.72866
17,-74.80062,40.74001
18,-74.83494,40.75138
19,-74.86931,40.76243
20,-74.90399,40.77281
21,-74.93925,40.78218
22,-74.97533,40.79019
23,-75.01219,40.79643
24,-75.04954,40.80039
25,-75.08712,40.80158
26,-75.12462,40.79952
27,-75.16160,40.79393
28,-75.19732,40.78492
29,-75.23102,40.77263
30,-75.26206,40.75728
31,-75.29103,40.73986
32,-75.31926,40.72176
33,-75.34808,40.70441
34,-75.37881,40.68921
35,-75.41200,40.67688
36,-75.44713,40.66711
37,-75.48359,40.65953
38,-75.52076,40.65377
39,-75.55811,40.64946
40,-75.59546,40.64626
41,-75.63280,40.64384
42,-75.67010,40.64186
43,-75.70734,40.64000
44,-75.74451,40.63792
45,-75.78159,40.63529
46,-75.81856,40.63189
47,-75.85547,40.62790
48,-75.89237,40.62357
49,-75.92931,40.61915
50,-75.96634,40.61489
51,-76.00352,40.61106
52,-76.04089,40.60791
53,-76.07846,40.60564
54,-76.11615,40.60437
55,-76.15384,40.60420
56,-76.19143,40.60523
57,-76.22881,40.60754
58,-76.26589,40.61125
59,-76.30256,40.61644
60,-76.33879,40.62304
61,-76.37467,40.63080
62,-76.41029,40.63944
63,-76.44573,40.64867
64,-76.48107,40.65822
65,-76.51642,40.66781
66,-76.55184,40.67717
67,-76.58743,40.68601
68,-76.62328,40.69407
69,-76.65941,40.70126
70,-76.69578,40.70768
71,-76.73238,40.71342
72,-76.76916,40.71858
73,-76.80610,40.72326
74,-76.84317,40.72756
75,-76.88033,40.73158
76,-76.91755,40.73541
77,-76.95481,40.73916
78,-76.99206,40.74292
79,-77.02929,40.74679
80,-77.06645,40.75088
81,-77.10352,40.75526
82,-77.14050,40.75997
83,-77.17739,40.76497
84,-77.21420,40.77021
85,-77.25095,40.77566
86,-77.28764,40.78129
87,-77.32429,40.78706
88,-77.36091,40.79292
89,-77.39752,40.79884
90,-77.43411,40.80479
91,-77.47071,40.81072
92,-77.50732,40.81660
93,-77.54395,40.82239
94,-77.58063,40.82805
95,-77.61733,40.83359
96,-77.65408,40.83901
97,-77.69085,40.84433
98,-77.72765,40.84956
99,-77.76446,40.85473
100,-77.80130,40.85983
101,-77.83815,40.86490
102,-77.87500,40.86994
103,-77.91186,40.87497
104,-77.94872,40.88000
105,-77.98557,40.88504
106,-78.02242,40.89012
107,-78.05925,40.89525
108,-78.09607,40.90042
109,-78.13288,40.90562
110,-78.16968,40.91086
111,-78.20648,40.91611
112,-78.24327,40.92137
113,-78.28007,40.92662
114,-78.31686,40.93187
115,-78.35366,40.93710
116,-78.39047,40.94231
117,-78.42728,40.94748
118,-78.46410,40.95260
119,-78.50094,40.95767
120,-78.53779,40.96267
121,-78.57466,40.96762
122,-78.61154,40.97252
123,-78.64843,40.97738
124,-78.68533,40.98221
125,-78.72224,40.98701
126,-78.75914,40.99179
127,-78.79606,40.99658
128,-78.83297,41.00136
129,-78.86988,41.00615
130,-78.90678,41.01097
131,-78.94368,41.01581
132,-78.98057,41.02069
133,-79.01745,41.02561
134,-79.05433,41.03056
135,-79.09120,41.03554
136,-79.12806,41.04053
137,-79.16493,41.04551
138,-79.20180,41.05048
139,-79.23867,41.05541
140,-79.27556,41.06031
141,-79.31246,41.06514
142,-79.34937,41.06991
143,-79.38629,41.07460
144,-79.42324,41.07919
145,-79.46021,41.08368
146,-79.49721,41.08805
147,-79.53422,41.09232
148,-79.57126,41.09649
